Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
336.6/14,برنامج التسويق المصرفي,إتحاد المصاريف العربية,بيروت,إتحاد المصاريف العربية دار النفائس,1977,263,تمويل المؤسسات الاقتصادية,14273
631/13,وقائع ندوة تكامل انتاج حبوب الخبز في الوطن العربي,إتحاد مجالس البحث العلمي العربية,بغداد,اتحاد مجالس البحث العلمي العربية,1983,199,الهندسة الزراعية,14274
66/07,دور أجهزة البحث العلمي العربية في عمليةالتنمية القومية: وقائع الندوة المنعقدة في عمان للمدة 5-7-2-1979,إتحاد مجالس البحث العلمي العربية,بغداد,إتحاد مجالس البحث العلمي العربية,1981,139,البحث العلمي,14275
167/12,براءات الأختراع في نشاطات البحث العلمي,"إتحاد مجالس البحث العلمي العربية, الأمانة العامة",بغداد,إتحاد مجالس البحث العلمي العربية,1983,109,البحث العلمي,14276
378/21,دراسات العلوم الأساسية: الندوة الأولى لعمداء كليات العلوم بالجامعات العربية جامعة القاهرة فبراير 1972,"إتحادالجامعات العربية, الأمانة العامة",القاهرة,إتحاد الجامعات العربية,1972,416,التعليم العالي,14277
002/12,بناء المكانز وتطويرها,"إتيم, محمود أحمد",تونس,مركز التوثيق والمعلومات جامعة الدول العربية,1987,372,علم التوثيق,14278
338.984/31,المعهد العربي للتخطيط,أجهزة التخطيط في الأقطار العربية,الكويت,N/A,1987,322,التخطيط الإقتصادي,14279
343.2/04,جريمة رشوة الموظف العمومي في التشريع المغربي,"أجوييد, أحمد",البيضاء,دار الرشاد الحديثة,1983,267,القانون الجنائي,14280
82-1/122 ج2,دار الأصفهاني للطباعة,"أحاسيس اللظى, الجزء التاني: تداعيات الغزو العراقي الغادر",جدة,N/A,N/A,262,ديوان شعري,14281
93_927/22,دراسات في تاريخ الدولة العربية,"أحمد أبو ضيف, مصطفى",البيضاء,دار النشر المغربية,1983,551,تاريخ العرب,14282
621.385.833/01,المبادىء الأساسية للتحضير المجهري الضوئي,"أحمد الحاج, حميد",نيويورك,دار جون وايلي وأبنائه,1982,137,المجهر الضوئي,14283
93:297/124,منشورات المنظمة الاسلامية لتربية والعلوم والثقافة,أحمد بابا التمبكتي: بحوث الندوة التي عقدتها - ايسيسكو - بمناسبة مرور أربعة قرون ونصف على ولادته مراكش 22- 25 صفر الخير 1412 ه/ 2- 5 سبتمبر 1992م,N/A,N/A,1993,159,تاريخ الاسلام,14284
621.316.1/02,نظم القدرة الكهربائية ومبادئ عملها,"أحمد حمندوش, عمر",حلب,جامعة حلب,1992,672,الشبكات الكهربائية,14285
659/12,نظم الإتصال: الإعلام في الدول النامية,"أحمد رشتي, جهان",القاهرة,دار الفكر العربي,1972,192,الإعلام,14286
301.08/01,مناهج الدراسات الاجتماعية,"أحمد سعاده, جودت",بيروت,دار العلم للملايين,1984,703,علم الاجتماع: البحث الاجتماعي,14287
912/06,أساسيات الخرائط الجيولوجية,"أحمد شعت, نعيم",المملكة العربية السعودية,مطابع جامعة الملك سعود,1995,185,خرائط,14288
937/01,مصادر التاريخ الروماني,"أحمد علي, عبد اللطيف",بيروت,دار النهضة العربية,1980,241,تاريخ الرومان,14289
949.5/04,التاريخ اليوناني (العصر الهللادي),"أحمد علي, عبد اللطيف",بيروت,دار النهضة العربية,1971,841,تاريخ اليونان,14290
159.922.8/01,سيكولوجية التوافق النفسي ومستوى الطموح : دراسة مقارنة بين الجنسين في مرحلة المراهقة بالمغرب,"أحمد مرحاب, صلاح",الرباط,دار الآمان,1989,250,علم النفس,14291
30/29,محاضرات في علم الإجتماع,"أحمد مسلم, عدنان",دمشق,مطبعة الاتحاد,1991,362,علم الإجتماع,14292
301.07/01,دراسات في علم الاجتماع الريفي,"أحمد مسلم, عدنان",دمشق,المطبعة الجديدة,1988,316,علم الاجتماع القروي,14293
953.68/02,تاريخ الكويت. الجزء الثاني: القسم الأول,"أحمد مصطفى, أبو حاكمة",الكويت,مطبعة حكومة الكويت,1973,272,تاريخ الكويت,14294
964/131,النشاط الاقتصادي في المغرب الاسلامي خلال القرن السادس الهجري,"أحمد موسى, عز الدين",القاهرة,دار الشروق,1983,429,تاريخ المغرب,14295
378.1/04,النساء المسلمات والتعليم العالي: من أجل إقامة مؤسسات منفصلة للنساء,"أحمد, أنيس",الرياض,مكتب التربية العربي لدول الخليج,1987,110,التعليم الجامعي,14296
801/57,حركة التأليف باللغة العربية في الإقليم الشمالي الهندي في القرنين الثامن والتاسع عشر,"أحمد, جميل",دمشق,منشورات وزارة الثقافة والإرشاد القومي,1977,647,فقه اللغة,14297
31/11,مبادئ الإحصاء النظري,"أحمد, صلاح",دمشق,منشورات جامعة دمشق,1992,265,الإحصاء,14298
82-31_567/01,الأدب القصصي في العراق منذ الحرب العالمية الثانية : اتجاهاته الفكرية وقيمه الفنية,"أحمد, عبد الإله",بغداد,منشورات وزارة الإعلام,1977,371,الرواية العراقية,14299
93:297/78,تاريخ المغرب العربي الاسلامي,"أحمد, علي",دمشق,منشورات دمشق,1992,262,تاريخ الإسلام,14300
937/03,مصادر التاريخ الروماني,"أحمد, علي عبد اللطيف",بيروت,دار النهضة العربية,1970,241,التاريخ الروماني,14301
30/03,علم الاجتماع الريفي,"أحمد, علي فؤاد",بيروت,دار النهظة العربية,1981,438,علم الاجتماع القروي,14302
577.9/03,المدخل الى علم الجنين الجزيئي,"أحمد, ناظم",سوريا,جامعة حلب,1992,343,بيولوجية النمو,14303
801.56/60,دار الرشيد للنشر,أخبارأبي القاسم الزجاجي,الجمهورية العراقية,N/A,1980,317,النحو,14304
82-1/29,باب البحر,"أخريف, المهدي",بيروت,المؤسسة العربية للدراسات والنشر,1983,90,ديوان شعري,14305
82-91/10,رسالة تداعي الحيوانات على الإنسان,إخوان الصفا,بيروت,دار الآفاق الجديدة,1977,271,الأدب الشعبي,14306
1:297/93 ج1,رسائل إخوان الصفاء وخلان الوفاء,إخوان الصفاء,بيروت,دار صادر,N/A,464,فلسفة إسلامية: إخوان الصفاء,14307
1:297/93 ج2,رسائل إخوان الصفاء وخلان الوفاء: الجسمانيات الطبيعيات,إخوان الصفاء,بيروت,دار صادر,N/A,463,فلسفة إسلامية: إخوان الصفاء,14308
1:297/93 ج4,رسائل إخوان الصفاء وخلان الوفاء: العلوم الناموسية الاهلية والشرعية الدينية,إخوان الصفاء,بيروت,دار صادر,N/A,469,فلسفة إسلامية : إخوان الوفاء,14309
7.033.3/03,مقدمة عن آثار المملكة العربية السعودية,إدارة الآتار والمتاحف,السعودية,وزارة المعارف,1975,178,الفن الإسلامي,14310
940.04/09,دار النهضة العربية للطباعة والنشر,إدارة الأمبراطورية البيزنطية للامبراطور قسطنطين السابع بروفيرو جنيتوس,بيروت,N/A,1970,293,تاريخ العصر الوسيط,14311
35/85,الكتاب التوثيقي لندوة: إدارة الصيانة في الأجهزة الحكومية (المشكلات والحلول),إدارة البرامج العليا,الرياض,معهد الإدارة العامة,1995,294,القانون الإداري,14312
712/01,الحدائق: هندسة وتنسيق,"إدريس, رشيد",بيروت,الدار الجامعية,1986,543,هندسة الحدائق,14313
1/92,مابعد الحداثة: انفجار عقل أواخر القرن. النص: الفسعة المضيئة,"أدهم, سامي",بيروت,دار كتابات,1994,224,فلسفة,14314
